Artista,de,até,Gênero(s),Vendas estimadas (milhões)
Tonico & Tinoco,1930,1994,Sertanejo,150.0
Roberto Carlos,1959,2016,Jovem Guarda,120.0
Nelson Gonçalves,1941,1998,Samba-canção,75.0
Rita Lee,1963,2016,Rock,55.0
Nelson Ned,1960,2014,Brega/Romântico,45.0
Xuxa,1984,2016,Infantil,40.0
Leonardo/Leandro e Leonardo,1983 , 1998,Sertanejo,35.0
Chitãozinho e Xororó,1970,2016,Sertanejo,30.0
Raça Negra,1983,2016,Pagode,30.0
Maria Bethânia,1965,2016,MPB,26.0
Legião Urbana,1982,1996,Rock,25.0
Mara Maravilha,1978,2016,Infantil,23.0
Amado Batista,1975,2016,Brega/Romântico,22.0
Zezé Di Camargo & Luciano,1991,2016,Sertanejo,20.0
Sandy & Junior,1990,2007,Pop,17.0
Fábio Júnior,1969,2016,Brega/Romântico,16.0
Banda Calypso,1999,2015,Calipso,15.0
Pitty,1995,2016,Rock,15.0
Sepultura,1985,2016,Death metal,15.0
Ivete Sangalo,1993,2016,Axé,15.0
Roberta Miranda,1986,2016,Sertanejo,14.0
Angélica,1990,2001,Pop,13.0
Zeca Pagodinho,1983,2016,Pagode,12.0
Alexandre Pires,1989,2016,Pagode,10.0
Calcinha Preta,1995,2016,Forró,10.0
Carmen Miranda,1929,1953,Samba/Marchinha de Carnaval,10.0
Diante do Trono,1999,2016,Música cristã contemporânea,10.0
Lulu Santos,1973,2016,Pop,10.0
Marisa Monte,1987,2016,MPB,10.0
Turma do Balão Mágico,1982,1986,Infantil,10.0
Wando,1973,2012,Brega/Romântico,10.0
Kid Abelha,1984,2016,Pop,9.0
Bruno & Marrone,1994,2016,Sertanejo,9.0
Fafá de Belém,1973,2016,MPB,9.0
Exaltasamba,1986,2016,Pagode,8.0
Padre Marcelo Rossi,1997,2016,Música cristã contemporânea,8.0
Rose Nascimento,1990,2016,Música cristã contemporânea,8.0
Roupa Nova,1980 ,2016,Pop,8.0
Shirley Carvalhaes,1977,2016,Música cristã contemporânea,8.0
Só pra Contrariar,1989,2016,Pagode,8.0
KLB,2000,2016,Pop,7.0
Belo,1993,2016,Pagode,7.0
Aline Barros,1995,2016,Música cristã contemporânea,7.0
Daniela Mercury,1981,2016,Axé,7.0
Cassiane,1981,2016,Música cristã contemporânea,7.0
Titãs,1982,2016,Rock,63.0
Deborah Blando,1991,2016,Pop,6.0
Trazendo a Arca,2007,2016,Música cristã contemporânea,6.0
Rouge,2002,2005,Pop,6.0
Skank,1991,2016,Rock,55.0
Ana Carolina,1999,2016,Pop,5.0
Charlie Brown Jr.,1992,2013,Rock,5.0
Os Paralamas do Sucesso,1977,2016,Rock,5.0
Raimundos,1987,2016,Rock,5.0
